KEGG_Primary_class	KEGG_secondary_class	KEGG_pathway_ID	pathway_name	# genes in pathway	genes in chosen	# genes in chosen	genes in HSA_background	#genes in HSA_background	%(chosen/HSA_background)
Human Diseases	Cancers	hsa05219	  "Bladder cancer - Homo sapiens (human)"	41	['hsa:1890', 'hsa:5594', 'hsa:9252', 'hsa:1869', 'hsa:5595', 'hsa:595', 'hsa:5894', 'hsa:4193', 'hsa:5925', 'hsa:7157', 'hsa:1029']	11	['hsa:5604', 'hsa:1612', 'hsa:6714', 'hsa:1026', 'hsa:5605', 'hsa:5894', 'hsa:4193', 'hsa:4609', 'hsa:5925', 'hsa:7157', 'hsa:2064', 'hsa:1956', 'hsa:1029', 'hsa:1890', 'hsa:999', 'hsa:11186', 'hsa:4313', 'hsa:5594', 'hsa:9252', 'hsa:4318', 'hsa:1869', 'hsa:5595', 'hsa:595', 'hsa:1871', 'hsa:7422']	25	44.0
Organismal Systems	Immune system	hsa04611	  "Platelet activation - Homo sapiens (human)"	131	['hsa:2534', 'hsa:2778', 'hsa:5594', 'hsa:5595', 'hsa:1432', 'hsa:109', 'hsa:1280', 'hsa:207', 'hsa:83706', 'hsa:5331', 'hsa:2909', 'hsa:5613', 'hsa:1290']	13	['hsa:6786', 'hsa:2266', 'hsa:83660', 'hsa:5499', 'hsa:112', 'hsa:23236', 'hsa:5613', 'hsa:2811', 'hsa:5600', 'hsa:5592', 'hsa:6300', 'hsa:23365', 'hsa:6714', 'hsa:5336', 'hsa:1290', 'hsa:5500', 'hsa:5290', 'hsa:7408', 'hsa:1289', 'hsa:9475', 'hsa:7094', 'hsa:5330', 'hsa:109', 'hsa:1280', 'hsa:207', 'hsa:5295', 'hsa:83706', 'hsa:5331', 'hsa:3688', 'hsa:3708', 'hsa:2909', 'hsa:115', 'hsa:5584', 'hsa:3674', 'hsa:695', 'hsa:2534', 'hsa:4659', 'hsa:6916', 'hsa:1301', 'hsa:2983', 'hsa:4638', 'hsa:387', 'hsa:5590', 'hsa:60', 'hsa:9138', 'hsa:2778', 'hsa:8773', 'hsa:5594', 'hsa:5595', 'hsa:1277', 'hsa:7450', 'hsa:1432', 'hsa:2771', 'hsa:5321', 'hsa:10000', 'hsa:8503', 'hsa:8673']	57	22.807017543859647
Human Diseases	Substance dependence	hsa05034	  "Alcoholism - Homo sapiens (human)"	180	['hsa:9734', 'hsa:10681', 'hsa:2778', 'hsa:10013', 'hsa:55506', 'hsa:5594', 'hsa:6655', 'hsa:286436', 'hsa:5595', 'hsa:2030', 'hsa:9555', 'hsa:1386', 'hsa:3065', 'hsa:1385', 'hsa:468', 'hsa:8520', 'hsa:5894', 'hsa:3021', 'hsa:148327', 'hsa:9586', 'hsa:55869', 'hsa:814', 'hsa:3020', 'hsa:8290', 'hsa:8841', 'hsa:2885', 'hsa:3066', 'hsa:1388']	28	['hsa:8290', 'hsa:5604', 'hsa:8841', 'hsa:5499', 'hsa:2885', 'hsa:51806', 'hsa:54331', 'hsa:3066', 'hsa:801', 'hsa:5500', 'hsa:1388', 'hsa:4852', 'hsa:468', 'hsa:8520', 'hsa:25759', 'hsa:5894', 'hsa:1644', 'hsa:3021', 'hsa:6531', 'hsa:148327', 'hsa:9586', 'hsa:55869', 'hsa:4915', 'hsa:814', 'hsa:90993', 'hsa:6464', 'hsa:3020', 'hsa:84254', 'hsa:9734', 'hsa:51564', 'hsa:9759', 'hsa:4129', 'hsa:10681', 'hsa:2778', 'hsa:10013', 'hsa:55506', 'hsa:5594', 'hsa:6655', 'hsa:286436', 'hsa:5595', 'hsa:10488', 'hsa:10014', 'hsa:10645', 'hsa:2030', 'hsa:9555', 'hsa:2771', 'hsa:6654', 'hsa:1386', 'hsa:3065', 'hsa:1385']	50	56.00000000000001
Metabolism	Carbohydrate metabolism	hsa00620	  "Pyruvate metabolism - Homo sapiens (human)"	40	['hsa:98']	1	['hsa:501', 'hsa:5162', 'hsa:98', 'hsa:5091', 'hsa:2739', 'hsa:55902', 'hsa:3939', 'hsa:9380', 'hsa:219', 'hsa:223', 'hsa:4191', 'hsa:1737', 'hsa:4190', 'hsa:4199', 'hsa:5315', 'hsa:38', 'hsa:32', 'hsa:4200', 'hsa:1738', 'hsa:2271', 'hsa:5106', 'hsa:3945', 'hsa:97', 'hsa:39']	24	4.166666666666666
Human Diseases	Cancers	hsa05211	  "Renal cell carcinoma - Homo sapiens (human)"	66	['hsa:1387', 'hsa:7042', 'hsa:5594', 'hsa:2033', 'hsa:6655', 'hsa:57144', 'hsa:5595', 'hsa:8453', 'hsa:7043', 'hsa:5894', 'hsa:7428', 'hsa:207', 'hsa:405', 'hsa:3725', 'hsa:2885', 'hsa:112398']	16	['hsa:5604', 'hsa:9915', 'hsa:3725', 'hsa:2885', 'hsa:5781', 'hsa:5062', 'hsa:112398', 'hsa:5290', 'hsa:5605', 'hsa:5894', 'hsa:7428', 'hsa:2113', 'hsa:54583', 'hsa:5879', 'hsa:207', 'hsa:405', 'hsa:5295', 'hsa:5058', 'hsa:201163', 'hsa:7039', 'hsa:1387', 'hsa:998', 'hsa:5063', 'hsa:2271', 'hsa:7042', 'hsa:1399', 'hsa:5594', 'hsa:2033', 'hsa:6655', 'hsa:3091', 'hsa:57144', 'hsa:5595', 'hsa:7040', 'hsa:4233', 'hsa:2889', 'hsa:8453', 'hsa:2549', 'hsa:7422', 'hsa:6654', 'hsa:10000', 'hsa:6513', 'hsa:8503', 'hsa:7043']	43	37.2093023255814
Organismal Systems	Sensory system	hsa04744	  "Phototransduction - Homo sapiens (human)"	29	['hsa:8787', 'hsa:408']	2	['hsa:51806', 'hsa:801', 'hsa:408', 'hsa:2978', 'hsa:9187', 'hsa:8787']	6	33.33333333333333
Environmental Information Processing	Signal transduction	hsa04152	  "AMPK signaling pathway - Homo sapiens (human)"	124	['hsa:595', 'hsa:6794', 'hsa:1385', 'hsa:2309', 'hsa:5208', 'hsa:5565', 'hsa:5562', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:200186', 'hsa:4218', 'hsa:5209']	13	['hsa:7248', 'hsa:4218', 'hsa:1938', 'hsa:3667', 'hsa:2194', 'hsa:5209', 'hsa:3643', 'hsa:6199', 'hsa:8408', 'hsa:8660', 'hsa:1978', 'hsa:84335', 'hsa:92335', 'hsa:5290', 'hsa:5208', 'hsa:5565', 'hsa:5562', 'hsa:6885', 'hsa:51719', 'hsa:5519', 'hsa:3480', 'hsa:5170', 'hsa:57521', 'hsa:5211', 'hsa:207', 'hsa:148327', 'hsa:5295', 'hsa:9586', 'hsa:2308', 'hsa:5213', 'hsa:5529', 'hsa:90993', 'hsa:51094', 'hsa:200186', 'hsa:84254', 'hsa:79602', 'hsa:1994', 'hsa:5214', 'hsa:6720', 'hsa:5523', 'hsa:32', 'hsa:5527', 'hsa:23411', 'hsa:6319', 'hsa:5106', 'hsa:7249', 'hsa:2997', 'hsa:5518', 'hsa:6009', 'hsa:51422', 'hsa:10488', 'hsa:6198', 'hsa:1374', 'hsa:595', 'hsa:10645', 'hsa:5564', 'hsa:5528', 'hsa:5210', 'hsa:10000', 'hsa:8503', 'hsa:6794', 'hsa:1385', 'hsa:2309', 'hsa:51552']	64	20.3125
Metabolism	Lipid metabolism	hsa00600	  "Sphingolipid metabolism - Homo sapiens (human)"	47	['hsa:253782']	1	['hsa:8879', 'hsa:2720', 'hsa:253782', 'hsa:7368', 'hsa:8877', 'hsa:259230', 'hsa:4758', 'hsa:9514', 'hsa:6610', 'hsa:91012', 'hsa:8612', 'hsa:29956', 'hsa:204219', 'hsa:57704', 'hsa:10558', 'hsa:410', 'hsa:9517']	17	5.88235294117647
Organismal Systems	Development	hsa04320	  "Dorso-ventral axis formation - Homo sapiens (human)"	27	['hsa:51513', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:80315', 'hsa:2885', 'hsa:84501']	7	['hsa:5604', 'hsa:2885', 'hsa:84501', 'hsa:56907', 'hsa:2113', 'hsa:2120', 'hsa:1956', 'hsa:51513', 'hsa:4854', 'hsa:5594', 'hsa:6655', 'hsa:5595', 'hsa:80315', 'hsa:6654']	14	50.0
Human Diseases	Cancers	hsa05202	  "Transcriptional misregulation in cancer - Homo sapiens (human)"	179	['hsa:51513', 'hsa:7185', 'hsa:4804', 'hsa:6929', 'hsa:3205', 'hsa:4208', 'hsa:2521', 'hsa:1053', 'hsa:51804', 'hsa:1655', 'hsa:7468', 'hsa:7704', 'hsa:64083', 'hsa:604', 'hsa:3065', 'hsa:894', 'hsa:466', 'hsa:860', 'hsa:7849', 'hsa:6495', 'hsa:904', 'hsa:4298', 'hsa:3021', 'hsa:4193', 'hsa:1025', 'hsa:55589', 'hsa:1848', 'hsa:5371', 'hsa:9611', 'hsa:7157', 'hsa:5546', 'hsa:4211', 'hsa:7403', 'hsa:6935', 'hsa:8091', 'hsa:2005', 'hsa:3020', 'hsa:8290', 'hsa:25942', 'hsa:79058', 'hsa:1051', 'hsa:1649', 'hsa:2130', 'hsa:6667', 'hsa:5087', 'hsa:6256', 'hsa:8464', 'hsa:3066', 'hsa:8861', 'hsa:3206']	50	['hsa:6692', 'hsa:8290', 'hsa:25942', 'hsa:5747', 'hsa:79058', 'hsa:4086', 'hsa:598', 'hsa:4300', 'hsa:1051', 'hsa:9915', 'hsa:5970', 'hsa:1649', 'hsa:2118', 'hsa:26471', 'hsa:4291', 'hsa:2130', 'hsa:7490', 'hsa:6667', 'hsa:5087', 'hsa:6256', 'hsa:8464', 'hsa:3066', 'hsa:5154', 'hsa:8861', 'hsa:3206', 'hsa:5328', 'hsa:1031', 'hsa:466', 'hsa:1026', 'hsa:860', 'hsa:7849', 'hsa:4149', 'hsa:6495', 'hsa:904', 'hsa:4298', 'hsa:5914', 'hsa:8864', 'hsa:3021', 'hsa:4221', 'hsa:4193', 'hsa:1025', 'hsa:4609', 'hsa:55589', 'hsa:2120', 'hsa:1848', 'hsa:3695', 'hsa:3480', 'hsa:5371', 'hsa:9611', 'hsa:7157', 'hsa:5546', 'hsa:55204', 'hsa:4211', 'hsa:3486', 'hsa:7403', 'hsa:6935', 'hsa:8091', 'hsa:2308', 'hsa:2078', 'hsa:2005', 'hsa:85414', 'hsa:3020', 'hsa:8842', 'hsa:51513', 'hsa:330', 'hsa:2530', 'hsa:7185', 'hsa:5218', 'hsa:4804', 'hsa:7030', 'hsa:6929', 'hsa:3205', 'hsa:862', 'hsa:4208', 'hsa:905', 'hsa:2521', 'hsa:1053', 'hsa:3002', 'hsa:51804', 'hsa:4318', 'hsa:5327', 'hsa:4233', 'hsa:1655', 'hsa:4790', 'hsa:7468', 'hsa:7704', 'hsa:1027', 'hsa:64083', 'hsa:604', 'hsa:7850', 'hsa:3398', 'hsa:3065', 'hsa:4297', 'hsa:894']	94	53.191489361702125
Human Diseases	Infectious diseases	hsa05166	  "HTLV-I infection - Homo sapiens (human)"	261	['hsa:996', 'hsa:1387', 'hsa:8498', 'hsa:5424', 'hsa:6929', 'hsa:10714', 'hsa:2932', 'hsa:51433', 'hsa:7042', 'hsa:1390', 'hsa:2033', 'hsa:5427', 'hsa:4773', 'hsa:1869', 'hsa:5425', 'hsa:595', 'hsa:11211', 'hsa:6908', 'hsa:6722', 'hsa:8850', 'hsa:1386', 'hsa:1385', 'hsa:4602', 'hsa:894', 'hsa:7043', 'hsa:1958', 'hsa:4801', 'hsa:466', 'hsa:2002', 'hsa:468', 'hsa:5111', 'hsa:109', 'hsa:5925', 'hsa:7157', 'hsa:51529', 'hsa:207', 'hsa:1029', 'hsa:1111', 'hsa:9184', 'hsa:2005', 'hsa:115650', 'hsa:3689', 'hsa:200186', 'hsa:467', 'hsa:10393', 'hsa:2353', 'hsa:10524', 'hsa:545', 'hsa:8061', 'hsa:29882', 'hsa:246184', 'hsa:3725', 'hsa:2535', 'hsa:11200', 'hsa:5613', 'hsa:8295', 'hsa:4215']	57	['hsa:3600', 'hsa:10393', 'hsa:8323', 'hsa:7417', 'hsa:4088', 'hsa:1499', 'hsa:2353', 'hsa:598', 'hsa:83660', 'hsa:10524', 'hsa:5970', 'hsa:112', 'hsa:545', 'hsa:8061', 'hsa:29882', 'hsa:246184', 'hsa:5426', 'hsa:3725', 'hsa:2535', 'hsa:3932', 'hsa:11200', 'hsa:5613', 'hsa:4603', 'hsa:8295', 'hsa:51434', 'hsa:5154', 'hsa:4215', 'hsa:3133', 'hsa:1147', 'hsa:7416', 'hsa:5290', 'hsa:1031', 'hsa:466', 'hsa:1026', 'hsa:2002', 'hsa:821', 'hsa:7538', 'hsa:468', 'hsa:5111', 'hsa:22800', 'hsa:3601', 'hsa:2113', 'hsa:324', 'hsa:4609', 'hsa:7094', 'hsa:109', 'hsa:5530', 'hsa:5925', 'hsa:64784', 'hsa:7157', 'hsa:51529', 'hsa:4089', 'hsa:207', 'hsa:5295', 'hsa:1030', 'hsa:1029', 'hsa:1111', 'hsa:83447', 'hsa:64682', 'hsa:9184', 'hsa:7476', 'hsa:701', 'hsa:8321', 'hsa:9133', 'hsa:22808', 'hsa:2005', 'hsa:115650', 'hsa:3689', 'hsa:200186', 'hsa:2224', 'hsa:1857', 'hsa:115', 'hsa:467', 'hsa:4487', 'hsa:996', 'hsa:1856', 'hsa:1387', 'hsa:8498', 'hsa:29945', 'hsa:7478', 'hsa:5424', 'hsa:6416', 'hsa:7132', 'hsa:5423', 'hsa:6929', 'hsa:4775', 'hsa:4791', 'hsa:10714', 'hsa:7419', 'hsa:2932', 'hsa:7514', 'hsa:51433', 'hsa:3383', 'hsa:7042', 'hsa:8697', 'hsa:4214', 'hsa:1390', 'hsa:8829', 'hsa:706', 'hsa:2033', 'hsa:5427', 'hsa:4792', 'hsa:4776', 'hsa:4605', 'hsa:4773', 'hsa:1869', 'hsa:7976', 'hsa:3551', 'hsa:5971', 'hsa:7040', 'hsa:23373', 'hsa:7472', 'hsa:5425', 'hsa:7046', 'hsa:4790', 'hsa:595', 'hsa:4055', 'hsa:11211', 'hsa:1871', 'hsa:896', 'hsa:6908', 'hsa:6722', 'hsa:5159', 'hsa:8850', 'hsa:56655', 'hsa:7850', 'hsa:1386', 'hsa:10000', 'hsa:6513', 'hsa:991', 'hsa:8503', 'hsa:1385', 'hsa:4602', 'hsa:894', 'hsa:7043', 'hsa:1958', 'hsa:4801', 'hsa:5533']	138	41.30434782608695
Cellular Processes	Cell motility	hsa04810	  "Regulation of actin cytoskeleton - Homo sapiens (human)"	215	['hsa:7454', 'hsa:3682', 'hsa:5594', 'hsa:6655', 'hsa:57144', 'hsa:5595', 'hsa:10094', 'hsa:8936', 'hsa:2246', 'hsa:200576', 'hsa:81', 'hsa:5894', 'hsa:10152', 'hsa:2247', 'hsa:1793', 'hsa:2909', 'hsa:3689', 'hsa:4636']	18	['hsa:1073', 'hsa:79837', 'hsa:1128', 'hsa:5604', 'hsa:5747', 'hsa:5499', 'hsa:54961', 'hsa:10458', 'hsa:5062', 'hsa:128239', 'hsa:23396', 'hsa:2248', 'hsa:23365', 'hsa:6714', 'hsa:5154', 'hsa:7114', 'hsa:5500', 'hsa:4636', 'hsa:10552', 'hsa:5290', 'hsa:5605', 'hsa:89846', 'hsa:9459', 'hsa:2258', 'hsa:81', 'hsa:10095', 'hsa:5894', 'hsa:4628', 'hsa:22800', 'hsa:9475', 'hsa:324', 'hsa:3679', 'hsa:5879', 'hsa:5962', 'hsa:10152', 'hsa:3685', 'hsa:2250', 'hsa:2247', 'hsa:3695', 'hsa:81624', 'hsa:8826', 'hsa:3687', 'hsa:7409', 'hsa:8394', 'hsa:56034', 'hsa:5295', 'hsa:10788', 'hsa:2768', 'hsa:1956', 'hsa:4478', 'hsa:1730', 'hsa:2934', 'hsa:5058', 'hsa:3688', 'hsa:1793', 'hsa:55740', 'hsa:22808', 'hsa:10163', 'hsa:2909', 'hsa:3689', 'hsa:2264', 'hsa:3678', 'hsa:10109', 'hsa:3675', 'hsa:3674', 'hsa:85477', 'hsa:7454', 'hsa:9564', 'hsa:4659', 'hsa:10787', 'hsa:4638', 'hsa:2263', 'hsa:387', 'hsa:998', 'hsa:87', 'hsa:60', 'hsa:9138', 'hsa:4660', 'hsa:5063', 'hsa:88', 'hsa:3693', 'hsa:3682', 'hsa:54434', 'hsa:5829', 'hsa:6548', 'hsa:7430', 'hsa:1399', 'hsa:5594', 'hsa:4627', 'hsa:6655', 'hsa:57144', 'hsa:2245', 'hsa:5595', 'hsa:3696', 'hsa:8976', 'hsa:3984', 'hsa:28964', 'hsa:5216', 'hsa:10094', 'hsa:8936', 'hsa:2246', 'hsa:5159', 'hsa:200576', 'hsa:6654', 'hsa:8503']	105	17.142857142857142
Environmental Information Processing	Signal transduction	hsa04668	  "TNF signaling pathway - Homo sapiens (human)"	110	['hsa:7185', 'hsa:5594', 'hsa:9252', 'hsa:5595', 'hsa:5608', 'hsa:1432', 'hsa:1386', 'hsa:1385', 'hsa:468', 'hsa:7187', 'hsa:207', 'hsa:148327', 'hsa:9586', 'hsa:836', 'hsa:197259', 'hsa:2353', 'hsa:3726', 'hsa:1051', 'hsa:3725', 'hsa:1388']	20	['hsa:3600', 'hsa:836', 'hsa:8772', 'hsa:197259', 'hsa:5604', 'hsa:2353', 'hsa:3726', 'hsa:1051', 'hsa:5970', 'hsa:3725', 'hsa:5600', 'hsa:6300', 'hsa:1147', 'hsa:1388', 'hsa:192111', 'hsa:5290', 'hsa:7186', 'hsa:468', 'hsa:3976', 'hsa:7187', 'hsa:6885', 'hsa:8737', 'hsa:207', 'hsa:148327', 'hsa:5295', 'hsa:9586', 'hsa:9530', 'hsa:90993', 'hsa:257397', 'hsa:8986', 'hsa:8837', 'hsa:6376', 'hsa:330', 'hsa:355', 'hsa:5606', 'hsa:5601', 'hsa:7185', 'hsa:841', 'hsa:6416', 'hsa:7132', 'hsa:602', 'hsa:1906', 'hsa:83737', 'hsa:7188', 'hsa:10059', 'hsa:3383', 'hsa:5594', 'hsa:10454', 'hsa:9252', 'hsa:4792', 'hsa:4318', 'hsa:182', 'hsa:8717', 'hsa:5595', 'hsa:3551', 'hsa:10488', 'hsa:1326', 'hsa:5608', 'hsa:4790', 'hsa:329', 'hsa:1432', 'hsa:8809', 'hsa:1386', 'hsa:10000', 'hsa:8503', 'hsa:1385', 'hsa:7128']	67	29.850746268656714
Organismal Systems	Immune system	hsa04620	  "Toll-like receptor signaling pathway - Homo sapiens (human)"	106	['hsa:5594', 'hsa:5595', 'hsa:5608', 'hsa:1432', 'hsa:148022', 'hsa:3929', 'hsa:7187', 'hsa:7099', 'hsa:207', 'hsa:2353', 'hsa:3725']	11	['hsa:8772', 'hsa:5604', 'hsa:2353', 'hsa:4615', 'hsa:5970', 'hsa:7189', 'hsa:3725', 'hsa:3654', 'hsa:5600', 'hsa:7100', 'hsa:6300', 'hsa:51135', 'hsa:1147', 'hsa:5290', 'hsa:3661', 'hsa:5605', 'hsa:148022', 'hsa:3929', 'hsa:7187', 'hsa:6885', 'hsa:5879', 'hsa:7099', 'hsa:8737', 'hsa:3454', 'hsa:207', 'hsa:5295', 'hsa:114609', 'hsa:23643', 'hsa:3455', 'hsa:5606', 'hsa:5601', 'hsa:841', 'hsa:6416', 'hsa:54472', 'hsa:5594', 'hsa:10454', 'hsa:4792', 'hsa:5595', 'hsa:3551', 'hsa:1326', 'hsa:5608', 'hsa:4790', 'hsa:1432', 'hsa:6772', 'hsa:10000', 'hsa:8503']	46	23.91304347826087
Human Diseases	Infectious diseases	hsa05133	  "Pertussis - Homo sapiens (human)"	75	['hsa:5594', 'hsa:5595', 'hsa:1432', 'hsa:725', 'hsa:148022', 'hsa:7099', 'hsa:3394', 'hsa:3689', 'hsa:836', 'hsa:2353', 'hsa:3725']	11	['hsa:836', 'hsa:1073', 'hsa:2353', 'hsa:4615', 'hsa:5970', 'hsa:712', 'hsa:7189', 'hsa:3725', 'hsa:51806', 'hsa:3654', 'hsa:5600', 'hsa:6300', 'hsa:51135', 'hsa:801', 'hsa:725', 'hsa:3659', 'hsa:718', 'hsa:3661', 'hsa:148022', 'hsa:7099', 'hsa:834', 'hsa:3394', 'hsa:3688', 'hsa:114609', 'hsa:23643', 'hsa:714', 'hsa:715', 'hsa:3689', 'hsa:3678', 'hsa:5601', 'hsa:387', 'hsa:5594', 'hsa:5595', 'hsa:29108', 'hsa:4790', 'hsa:51561', 'hsa:1432', 'hsa:2771']	38	28.947368421052634
Metabolism	Carbohydrate metabolism	hsa00053	  "Ascorbate and aldarate metabolism - Homo sapiens (human)"	27	['hsa:7358', 'hsa:9104']	2	['hsa:501', 'hsa:9104', 'hsa:219', 'hsa:223', 'hsa:55586', 'hsa:7358']	6	33.33333333333333
Metabolism	Glycan biosynthesis and metabolism	hsa00534	  "Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)"	24	['hsa:9394', 'hsa:90161']	2	['hsa:8509', 'hsa:90161', 'hsa:9394', 'hsa:26035', 'hsa:64132']	5	40.0
Human Diseases	Endocrine and metabolic diseases	hsa04930	  "Type II diabetes mellitus - Homo sapiens (human)"	48	['hsa:5594', 'hsa:5595', 'hsa:5580', 'hsa:122809']	4	['hsa:5580', 'hsa:3667', 'hsa:3643', 'hsa:122809', 'hsa:8660', 'hsa:5290', 'hsa:5295', 'hsa:6833', 'hsa:8913', 'hsa:5601', 'hsa:5315', 'hsa:5590', 'hsa:5594', 'hsa:5595', 'hsa:3551', 'hsa:2645', 'hsa:8503']	17	23.52941176470588
Human Diseases	Cardiovascular diseases	hsa05412	  "Arrhythmogenic right ventricular cardiomyopathy (ARVC) - Homo sapiens (human)"	74	['hsa:6445', 'hsa:81', 'hsa:51176', 'hsa:6934', 'hsa:783']	5	['hsa:783', 'hsa:1499', 'hsa:1000', 'hsa:1605', 'hsa:6262', 'hsa:81', 'hsa:3679', 'hsa:3685', 'hsa:51176', 'hsa:3695', 'hsa:6934', 'hsa:3688', 'hsa:55799', 'hsa:4000', 'hsa:3678', 'hsa:6443', 'hsa:3675', 'hsa:3674', 'hsa:1829', 'hsa:5318', 'hsa:87', 'hsa:60', 'hsa:88', 'hsa:3693', 'hsa:1832', 'hsa:2010', 'hsa:6445', 'hsa:3696']	28	17.857142857142858
Environmental Information Processing	Signal transduction	hsa04150	  "mTOR signaling pathway - Homo sapiens (human)"	60	['hsa:6196', 'hsa:27330', 'hsa:5594', 'hsa:5595', 'hsa:64121', 'hsa:6794', 'hsa:5562', 'hsa:207', 'hsa:64223']	9	['hsa:253260', 'hsa:7248', 'hsa:64223', 'hsa:54541', 'hsa:3667', 'hsa:5728', 'hsa:6199', 'hsa:8408', 'hsa:6197', 'hsa:1978', 'hsa:84335', 'hsa:92335', 'hsa:5290', 'hsa:5562', 'hsa:9470', 'hsa:51719', 'hsa:6194', 'hsa:5170', 'hsa:57521', 'hsa:207', 'hsa:5295', 'hsa:1977', 'hsa:5578', 'hsa:10670', 'hsa:1975', 'hsa:6196', 'hsa:27330', 'hsa:10325', 'hsa:5594', 'hsa:3091', 'hsa:5595', 'hsa:7249', 'hsa:3551', 'hsa:6009', 'hsa:6198', 'hsa:7422', 'hsa:64121', 'hsa:10000', 'hsa:8503', 'hsa:6195', 'hsa:6794']	41	21.951219512195124
Organismal Systems	Digestive system	hsa04973	  "Carbohydrate digestion and absorption - Homo sapiens (human)"	45	['hsa:207']	1	['hsa:5290', 'hsa:2542', 'hsa:5330', 'hsa:207', 'hsa:5295', 'hsa:10000', 'hsa:8503']	7	14.285714285714285
Metabolism	Carbohydrate metabolism	hsa00630	  "Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	28	['hsa:283871']	1	['hsa:6470', 'hsa:81888', 'hsa:6472', 'hsa:283871', 'hsa:48', 'hsa:84693', 'hsa:2752', 'hsa:9380', 'hsa:4594', 'hsa:4191', 'hsa:4190', 'hsa:1431', 'hsa:38', 'hsa:1738', 'hsa:50', 'hsa:39', 'hsa:847']	17	5.88235294117647
Human Diseases	Infectious diseases	hsa05164	  "Influenza A - Homo sapiens (human)"	177	['hsa:1387', 'hsa:2932', 'hsa:27102', 'hsa:5594', 'hsa:2033', 'hsa:5595', 'hsa:11100', 'hsa:5608', 'hsa:1432', 'hsa:1386', 'hsa:148022', 'hsa:5894', 'hsa:7099', 'hsa:5371', 'hsa:207', 'hsa:56000', 'hsa:3460', 'hsa:103', 'hsa:10482', 'hsa:3725', 'hsa:4261']	21	['hsa:5604', 'hsa:6773', 'hsa:54205', 'hsa:4615', 'hsa:5970', 'hsa:3310', 'hsa:3267', 'hsa:3725', 'hsa:4261', 'hsa:3838', 'hsa:5600', 'hsa:6300', 'hsa:51135', 'hsa:7919', 'hsa:3304', 'hsa:3303', 'hsa:5644', 'hsa:7416', 'hsa:10379', 'hsa:5290', 'hsa:3661', 'hsa:5605', 'hsa:148022', 'hsa:440275', 'hsa:3337', 'hsa:5894', 'hsa:842', 'hsa:1965', 'hsa:6041', 'hsa:7099', 'hsa:90865', 'hsa:834', 'hsa:5371', 'hsa:5045', 'hsa:3454', 'hsa:207', 'hsa:5295', 'hsa:56000', 'hsa:3606', 'hsa:5578', 'hsa:4599', 'hsa:3455', 'hsa:3460', 'hsa:103', 'hsa:2224', 'hsa:10482', 'hsa:1387', 'hsa:355', 'hsa:3459', 'hsa:5606', 'hsa:5601', 'hsa:5610', 'hsa:6416', 'hsa:7132', 'hsa:60', 'hsa:2932', 'hsa:7514', 'hsa:27102', 'hsa:57506', 'hsa:4938', 'hsa:3383', 'hsa:5594', 'hsa:2033', 'hsa:4792', 'hsa:8480', 'hsa:5611', 'hsa:5595', 'hsa:29108', 'hsa:3551', 'hsa:8797', 'hsa:11100', 'hsa:7297', 'hsa:23586', 'hsa:5608', 'hsa:4790', 'hsa:4940', 'hsa:4939', 'hsa:1432', 'hsa:3836', 'hsa:6772', 'hsa:1386', 'hsa:10625', 'hsa:10000', 'hsa:8503', 'hsa:7706']	85	24.705882352941178
Metabolism	Amino acid metabolism	hsa00310	  "Lysine degradation - Homo sapiens (human)"	52	['hsa:55904', 'hsa:9739', 'hsa:7468', 'hsa:55870', 'hsa:84787', 'hsa:83852', 'hsa:23067', 'hsa:64324', 'hsa:85007', 'hsa:387893', 'hsa:23127', 'hsa:10919']	12	['hsa:501', 'hsa:64324', 'hsa:8085', 'hsa:6419', 'hsa:85007', 'hsa:79813', 'hsa:29072', 'hsa:387893', 'hsa:55217', 'hsa:55753', 'hsa:23127', 'hsa:10919', 'hsa:9757', 'hsa:1892', 'hsa:79709', 'hsa:84787', 'hsa:83852', 'hsa:219', 'hsa:3033', 'hsa:23067', 'hsa:223', 'hsa:9869', 'hsa:80854', 'hsa:79723', 'hsa:55904', 'hsa:10157', 'hsa:38', 'hsa:5351', 'hsa:3030', 'hsa:9739', 'hsa:2639', 'hsa:4967', 'hsa:51166', 'hsa:7468', 'hsa:55870', 'hsa:4297', 'hsa:1743', 'hsa:39']	38	31.57894736842105
